session_id,event_type,latency_ms
2,EDGE_CREATED,4.1138
2,EDGE_CREATED,5.2276
2,EDGE_CREATED,4.3704
2,EDGE_CREATED,3.0933
2,EDGE_CREATED,4.2839
2,EDGE_CREATED,4.2283
2,EDGE_CREATED,3.2621
2,EDGE_CREATED,4.92
2,EDGE_CREATED,4.1588
2,EDGE_CREATED,4.7577
2,EDGE_CREATED,6.284
2,EDGE_CREATED,4.8524
2,EDGE_CREATED,3.7778
2,EDGE_CREATED,4.2
2,EDGE_CREATED,3.8162
2,EDGE_CREATED,3.1089
2,EDGE_CREATED,4.5921
2,EDGE_CREATED,3.1586
2,EDGE_CREATED,5.0849
2,EDGE_CREATED,3.822
2,EDGE_CREATED,3.4538
2,EDGE_CREATED,4.6395
2,EDGE_CREATED,5.2529
2,EDGE_CREATED,4.1826
2,EDGE_CREATED,4.2209
2,EDGE_CREATED,5.5679
2,EDGE_CREATED,5.4135
2,EDGE_CREATED,2.8338
2,EDGE_CREATED,2.2002
2,EDGE_CREATED,2.0756
2,EDGE_CREATED,1.8159
2,EDGE_CREATED,1.9792
2,EDGE_CREATED,2.5078
2,EDGE_CREATED,2.8517
2,EDGE_CREATED,2.4355
2,EDGE_CREATED,3.3444
2,EDGE_CREATED,2.695
2,EDGE_CREATED,3.9033
2,EDGE_CREATED,2.8484
2,EDGE_CREATED,3.5651
2,EDGE_CREATED,4.2268
2,EDGE_CREATED,4.2664
2,EDGE_CREATED,4.2556
2,EDGE_CREATED,6.287
2,EDGE_REMOVED,3.426
2,EDGE_REMOVED,3.7473
2,EDGE_REMOVED,2.6984
2,EDGE_REMOVED,1.8287
2,EDGE_REMOVED,2.0925
2,EDGE_REMOVED,1.9324
2,EDGE_REMOVED,2.4114
2,EDGE_REMOVED,2.6769
2,EDGE_REMOVED,2.8464
2,EDGE_REMOVED,6.4965
2,EDGE_REMOVED,6.7364
2,EDGE_REMOVED,6.4231
2,EDGE_REMOVED,8.095
2,EDGE_REMOVED,6.0572
2,EDGE_REMOVED,4.3255
2,EDGE_REMOVED,5.0321
2,EDGE_REMOVED,5.6434
2,EDGE_REMOVED,3.4506
2,EDGE_REMOVED,4.4248
2,EDGE_REMOVED,5.023
2,EDGE_REMOVED,5.496
2,EDGE_REMOVED,4.7443
2,EDGE_REMOVED,4.339
2,EDGE_REMOVED,4.9309
2,EDGE_REMOVED,6.4343
2,EDGE_REMOVED,4.0853
2,EDGE_REMOVED,3.5287
2,EDGE_REMOVED,4.428
2,EDGE_REMOVED,3.3598
2,EDGE_REMOVED,4.3732
2,EDGE_REMOVED,5.2667
2,EDGE_REMOVED,3.661
2,EDGE_REMOVED,4.994
2,EDGE_REMOVED,5.79
2,EDGE_REMOVED,4.711
2,EDGE_REMOVED,4.9888
2,EDGE_REMOVED,5.8769
